Ref,Val,Package,PosX,PosY,Rot,Side
"C116","10μF","C_0402_1005Metric",167.120000,-56.092500,0.000000,bottom
"C117","2.2μF","C_0402_1005Metric",161.180000,-60.042500,0.000000,bottom
"C118","2.2nF","C_0402_1005Metric",158.140000,-57.992500,180.000000,bottom
"C119","2.2nF","C_0402_1005Metric",158.130000,-56.492500,180.000000,bottom
"D5","USB_HUB_C","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",153.022500,-53.200000,180.000000,bottom
"D6","USB_HUB_A","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",138.377500,-59.200000,180.000000,bottom
"D7","BAT54","SOT-23-3_L2.9-W1.4-P1.90-LS2.6-BR",105.590000,-61.400000,180.000000,bottom
"D8","BAT54","SOT-23-3_L2.9-W1.4-P1.90-LS2.6-BR",102.090000,-61.400000,180.000000,bottom
"D9","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",64.090000,-80.850000,0.000000,bottom
"Fan","Fan","CONN-TH_S2B-PH-K-S-LF-SN",63.400000,-77.800000,180.000000,bottom
"HDMI","J_SBC_HDMI","FPC-SMD_24P-P0.50_FPC-05F-24PH20",129.560000,-109.790000,-90.000000,bottom
"J1","Battery","CONN_BM06B-ACHFKS-GACN-ETF_JST",83.400000,-56.199998,90.000000,bottom
"J9","PJ-307C","AUDIO-TH_PJ307C",162.267500,-49.450000,180.000000,bottom
"K_SW1","KeyBoard","KEY-SMD_4P-SKSCLXX010",64.550000,-45.250000,0.000000,bottom
"K_SW2","KeyBoard","KEY-SMD_4P-SKSCLXX010",188.450000,-45.230000,0.000000,bottom
"L1","2.2μH","IND-SMD_L4.4-W4.2",92.370000,-48.450000,180.000000,bottom
"L2","1µH / 3A","IND-SMD_L3.2-W2.5_CKST322512-2.2UH",109.100000,-56.400000,90.000000,bottom
"L3","10μH","IND-SMD_L4.7-W4.2",129.650000,-72.350000,-90.000000,bottom
"L4","1µH / 3A","IND-SMD_L3.2-W2.5_CKST322512-2.2UH",123.950000,-53.500000,180.000000,bottom
"LSPK","SPK_L","CONN-TH_S2B-PH-K-S-LF-SN",111.700000,-106.700000,-90.000000,bottom
"M.2","M.2","CONN-SMD_67P-P0.50-V_NXSM0-S67XX-XX40",188.030000,-83.200000,-90.000000,bottom
"PCIE","SBC_PCIE","FPC-SMD_16P-P0.50_FPC-05F-16PH20",150.090000,-87.950000,-90.000000,bottom
"Q1","BSS138","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",68.990000,-80.850000,0.000000,bottom
"R1","10kΩ","R_0402_1005Metric",101.090000,-53.650000,180.000000,bottom
"R2","10kΩ","R_0402_1005Metric",101.090000,-54.650000,180.000000,bottom
"R3","330Ω","R_0402_1005Metric",87.115000,-46.025000,180.000000,bottom
"R4","10kΩ","R_0402_1005Metric",98.250000,-56.510000,90.000000,bottom
"R5","270Ω","R_0603_1608Metric",97.000000,-57.375000,-90.000000,bottom
"R6","10kΩ","R_0402_1005Metric",95.750000,-58.690000,90.000000,bottom
"R7","10kΩ","R_0402_1005Metric",94.800000,-58.690000,90.000000,bottom
